model,cells,mean_score,median_score,mean_rmse_rel,mean_crps_rel,share_cells_beating_naive,share_rmse_beating_naive,best_cell_score,worst_cell_score,mean_abs_90pct_coverage_error,runtime_s,common_origins,baseline_origins,failure_count,success_share_vs_baseline,dm_cells,significant_wins,significant_losses,net_significant_wins,beats_naive_on_average
dynamic_factor,12,0.9659257127938131,0.9727294717929416,0.9657223694748059,0.9662307277723235,0.9166666666666666,0.9166666666666666,0.9173081232036895,1.003458314392933,0.03825427220712609,17811.745860139996,2819,2851,32,0.9887758681164504,12,1,0,1,True
bvar_niw,12,0.9855307035086723,0.9981572135890804,0.9820337014788844,0.9907762065533543,0.5,0.5833333333333334,0.8947673572683705,1.0636999563266225,0.04027419403595401,499.1283264610014,2851,2851,0,1.0,12,0,0,0,True
naive_last,12,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.047420629024475414,0.7937058339982945,2851,2851,0,1.0,0,0,0,0,False
naive_drift,12,1.0110354805345056,1.0088287684257717,1.0102647088807941,1.0121916380150728,0.0,0.0,1.0019565708525322,1.026947394200424,0.04763164957210588,0.7665188170087514,2851,2851,0,1.0,12,0,4,-4,False
elastic_net,12,1.1453454444628177,1.1016037182906797,1.1241441062965083,1.1771474517122817,0.08333333333333333,0.08333333333333333,0.9968207831079756,1.4190510477494689,0.09251065835108081,190.536601781995,2851,2851,0,1.0,12,0,1,-1,False
ridge,12,1.152248507088018,1.113339906996234,1.1275280617286243,1.1893291751271085,0.16666666666666666,0.0,0.9956875067161086,1.3674946356126325,0.10533254006454895,74.46346772900166,2851,2851,0,1.0,12,0,1,-1,False
hist_gradient_boosting,12,1.1917694397736807,1.123597502243459,1.1447976551577488,1.262227116697578,0.3333333333333333,0.3333333333333333,0.8948228675551171,1.898186416711911,0.15168113808895356,853.7561891360004,2851,2851,0,1.0,12,0,2,-2,False
random_forest,12,1.2564180359721382,1.2872496510409979,1.2037440883145496,1.335428957458521,0.25,0.3333333333333333,0.8853746053083331,1.8523495593446426,0.14647992685664454,2106.944624686998,2851,2851,0,1.0,12,0,2,-2,False
arima,12,1.2617150404214148,0.995813167746479,1.3628604026291642,1.10999699710979,0.5833333333333334,0.5833333333333334,0.9132859629374127,2.3160889553474973,0.04990113346728303,2797.530563713007,2851,2851,0,1.0,12,0,0,0,False
state_space,12,1.6055029229022881,1.2805975746818068,1.7807340763654196,1.342656192707591,0.0,0.0,1.0226147921368436,3.5864726779077656,0.051460436316157376,715.1661327979958,2851,2851,0,1.0,12,0,0,0,False
mean,12,1.8079072524464952,1.2465805113849537,1.610673887926034,2.103757299227186,0.25,0.25,0.8223223710488888,4.437914073479435,0.05170468096664122,0.7306255780018478,2851,2851,0,1.0,12,0,4,-4,False
seasonal_naive,12,1.8673776669315616,1.409949864941175,1.7494381510731731,2.0442869407191435,0.0,0.0,1.0015637311680061,4.97047922867484,0.055156027969893336,0.7179626839986175,2851,2851,0,1.0,12,0,5,-5,False
autoreg,12,2.1677776324649987,1.0410165322314846,2.596323250666942,1.5249592051620837,0.5,0.4166666666666667,0.9293468564227934,9.001797293883188,0.06564459998070335,30.87257459800427,2851,2851,0,1.0,12,0,0,0,False
var,12,767.6080944516671,5.339009358105,1131.2671071603831,222.11957538859295,0.08333333333333333,0.08333333333333333,0.9649092195381608,5317.590076525817,0.025689569015856933,13.243202456002507,2851,2851,0,1.0,12,0,0,0,False
