rank,model,score,rmse_rel,crps_rel,coverage80,coverage90,runtime_s,cells,expected_cells,common_origins,baseline_origins,failure_count,success_share_vs_baseline,beats_naive_last,complete_cell_coverage,pareto_efficient,skill_gain_vs_naive,skill_gain_per_runtime_s
1,dynamic_factor,0.9659257127938131,0.9657223694748059,0.9662307277723235,0.8287818174126497,0.8629412270896392,17811.745860139996,12,12,2819,2851,32,0.9887758681164504,True,True,True,0.03407428720618688,1.9130234326125213e-06
2,bvar_niw,0.9855307035086723,0.9820337014788844,0.9907762065533543,0.822115593559971,0.8649297440793765,499.1283264610014,12,12,2851,2851,0,1.0,True,True,True,0.014469296491327666,2.8989131099651588e-05
3,naive_last,1.0,1.0,1.0,0.8189452246958514,0.85616586886582,0.7937058339982945,12,12,2851,2851,0,1.0,False,True,True,0.0,0.0
4,naive_drift,1.0110354805345056,1.0102647088807941,1.0121916380150728,0.8154142733474489,0.8547593490214244,0.7665188170087514,12,12,2851,2851,0,1.0,False,True,True,-0.011035480534505648,-0.014396881445872785
11,mean,1.8079072524464952,1.610673887926034,2.103757299227186,0.8061297178509123,0.8482953190333588,0.7306255780018478,12,12,2851,2851,0,1.0,False,True,True,-0.8079072524464952,-1.1057746632084813
12,seasonal_naive,1.8673776669315616,1.7494381510731731,2.0442869407191435,0.8026642757697521,0.8448439720301065,0.7179626839986175,12,12,2851,2851,0,1.0,False,True,True,-0.8673776669315616,-1.208109677930325
5,elastic_net,1.1453454444628177,1.1241441062965083,1.1771474517122817,0.7469373834815878,0.8074893416489193,190.536601781995,12,12,2851,2851,0,1.0,False,True,False,-0.14534544446281772,-0.0007628216474077598
6,ridge,1.152248507088018,1.1275280617286243,1.1893291751271085,0.7257782705093123,0.795159724351766,74.46346772900166,12,12,2851,2851,0,1.0,False,True,False,-0.15224850708801796,-0.002044606727719195
7,hist_gradient_boosting,1.1917694397736807,1.1447976551577488,1.262227116697578,0.679107776261675,0.7483188619110464,853.7561891360004,12,12,2851,2851,0,1.0,False,True,False,-0.19176943977368066,-0.00022461850609569337
8,random_forest,1.2564180359721382,1.2037440883145496,1.335428957458521,0.6808138899918471,0.7535200731433555,2106.944624686998,12,12,2851,2851,0,1.0,False,True,False,-0.2564180359721382,-0.00012170136460526625
9,arima,1.2617150404214148,1.3628604026291642,1.10999699710979,0.8334004897702938,0.8663435922711136,2797.530563713007,12,12,2851,2851,0,1.0,False,True,False,-0.2617150404214148,-9.355216483284993e-05
10,state_space,1.6055029229022881,1.7807340763654196,1.342656192707591,0.8357460908684352,0.8723089026430548,715.1661327979958,12,12,2851,2851,0,1.0,False,True,False,-0.6055029229022881,-0.0008466605102416351
13,autoreg,2.1677776324649987,2.596323250666942,1.5249592051620837,0.7914988589287786,0.8343554000192968,30.87257459800427,12,12,2851,2851,0,1.0,False,True,False,-1.1677776324649987,-0.03782572874697948
14,var,767.6080944516671,1131.2671071603831,222.11957538859295,0.8336602124506781,0.8757872242330883,13.243202456002507,12,12,2851,2851,0,1.0,False,True,False,-766.6080944516671,-57.8869119458489
