model,score_recession,score_expansion,score_high_volatility,score_normal_volatility,recession_minus_expansion,highvol_minus_normal
arima,0.949750737255371,1.4105901911129877,1.2692172939662985,1.0441567356202053,-0.4608394538576167,0.22506055834609318
autoreg,0.9407731140060179,2.540231062969247,2.2124142988771176,1.1599763116122797,-1.599457948963229,1.052437987264838
bvar_niw,0.9860482106784868,0.9835672563992519,0.9860769070637798,0.9927270317646179,0.0024809542792348926,-0.006650124700838034
dynamic_factor,0.9977263961241364,0.9555007252707739,0.9634684633524483,0.9841525459150403,0.042225670853362485,-0.02068408256259202
elastic_net,1.0811385260296087,1.2192990611659331,1.0938193548640076,1.443684507073882,-0.13816053513632442,-0.34986515220987435
hist_gradient_boosting,1.1152793153066796,1.2724738301475214,1.1165408389863483,1.6194684976726361,-0.1571945148408418,-0.5029276586862879
mean,1.591815216591673,2.1544046779732424,1.6454211184914582,3.0124559524635828,-0.5625894613815694,-1.3670348339721246
naive_drift,1.0001702061184232,1.0140972333412528,1.010929078239456,1.016031353668193,-0.013927027222829569,-0.005102275428737091
naive_last,1.0,1.0,1.0,1.0,0.0,0.0
random_forest,1.2106799657868448,1.3507019398631435,1.1863037287817897,1.7554290401244577,-0.14002197407629868,-0.569125311342668
ridge,1.066610281440369,1.2231351098915744,1.09137156436722,1.5098291459273243,-0.1565248284512053,-0.4184575815601044
seasonal_naive,1.782466049361239,2.108618396032591,1.9428237376340503,1.826865848576637,-0.32615234667135207,0.11595788905741333
state_space,0.9347777065716141,1.8320904539251466,1.6301266259074862,1.1521792962652135,-0.8973127473535325,0.4779473296422727
var,0.934179102226,876.4862373872244,806.2873331578435,60.52563653632469,-875.5520582849983,745.7616966215188
